session_id,trace_count,total_tokens,total_cost
27d95d4c-8a71-4f40-9a36-8beafd874052,7,5984.0,0.0029919999999999
3150038e-c032-415a-97d6-a4a0f6e687d2,5,5703.0,0.0028514999999996998
44e60bd2-7123-4cda-b63d-caa94b3735fe,4,0.0,0.0
4e2ef436-51cf-4122-81f1-04b8d3c926f8,3,0.0,0.0
5495001b-0b4a-44cf-8cd2-a7d2726ffcd0,3,3642.0,0.001821
65a6cd55-0300-497f-a650-a9241f390475,3,0.0,0.0
898bbf22-ac9c-4023-803c-24fa3086195a,3,2435.0,0.0012175
9891e472-e7fc-496d-a522-5bb34080e5a6,6,6348.0,0.0031739999999998
a558e8b0-7f32-4cf6-b9fa-3f8d8891c68e,4,3465.0,0.0017324999999999
a64abe8c-8504-4265-bba0-425a262ba60f,5,0.0,0.0
b1fa4733-d241-4874-9193-cbd6249d0e91,6,0.0,0.0
b2356ad2-79d1-4192-bed5-b7b5945ac70e,7,7589.0,0.0037944999999999
e692b331-7d86-418b-9069-18ed16e44e89,5,0.0,0.0
e75928c3-43c5-447e-b5ad-5b299e622d7a,4,0.0,0.0
fae7cec0-961b-41a9-a4be-a4fa1c8f7d3a,5,4429.0,0.0022144999999998
fd998db1-840c-40fe-80c0-62fc26aaaf81,4,0.0,0.0
